Notes: 0
Panel 1,43
5,23954,71.999767
5,26636,80.001067
5,47753,143.000117
5,50435,151.001417
5,53116,158.999733
5,55127,164.999217
5,56803,169.999283
5,60490,180.998833
5,62166,185.998900
5,65854,197.001433
5,67194,200.999100
5,69876,209.000400
5,72557,216.998717
5,74233,221.998783
5,77083,230.501283
5,79261,236.998983
5,81943,245.000283
5,87306,260.999900
5,89988,269.001200
5,92669,276.999517
5,98032,292.999133
5,99708,297.999200
5,102725,306.999917
5,104904,313.500600
5,107585,321.498917
5,109094,326.000767
5,111440,332.999667
5,115462,344.998633
5,118144,352.999933
Panel 6,37
6,1664,5.501267
6,3004,9.498933
6,6859,20.999683
6,8200,25.000333
6,11217,34.001050
6,18423,55.498950
6,21440,64.499667
6,23116,69.499733
6,25798,77.501033
6,28479,85.499350
6,29820,89.500000
6,30993,92.999450
6,32502,97.501300
6,33842,101.498967
6,40546,121.499233
6,43228,129.500533
6,45742,137.000633
6,49429,148.000183
6,56971,170.500483
6,59150,177.001167
6,61496,184.000067
6,63172,189.000133
6,68870,205.999167
6,71217,213.001050
6,72725,217.499917
6,74904,224.000600
6,80770,241.500833
6,85965,256.999250
6,91496,273.500067
6,96692,289.001467
6,101049,301.999850
6,103898,310.499367
6,110099,328.999017
6,111608,333.500867
6,114122,341.000967
6,115630,345.499833
6,120490,359.998833
Panel 7,43
7,4178,13.001367
7,5518,16.999033
7,7027,21.500883
7,8367,25.498550
7,11217,34.001050
7,18423,55.498950
7,21608,65.000867
7,23284,70.000933
7,24457,73.500383
7,25630,76.999833
7,27138,81.498700
7,28312,85.001133
7,31161,93.500650
7,34010,102.000167
7,35183,105.499617
7,36524,109.500267
7,37865,113.500917
7,39205,117.498583
7,41887,125.499883
7,46412,138.999467
7,49429,148.000183
7,57306,171.499900
7,59317,177.499383
7,61496,184.000067
7,64680,193.499000
7,71217,213.001050
7,72893,218.001117
7,75574,225.999433
7,78088,233.499533
7,83451,249.499150
7,84960,254.001000
7,86133,257.500450
7,88814,265.498767
7,94178,281.501367
7,95686,286.000233
7,96859,289.499683
7,100881,301.498650
7,103731,310.001150
7,110267,329.500217
7,112781,337.000317
7,114289,341.499183
7,116803,348.999283
7,120490,359.998833
Panel 8,39
8,4345,13.499583
8,5686,17.500233
8,9708,29.499200
8,11217,34.001050
8,14233,42.998783
8,17083,51.501283
8,20435,61.501417
8,29317,87.999383
8,31999,96.000683
8,36692,110.001467
8,39373,117.999783
8,40714,122.000433
8,42055,126.001083
8,43395,129.998750
8,47753,143.000117
8,50435,151.001417
8,53116,158.999733
8,55127,164.999217
8,57138,170.998700
8,60490,180.998833
8,62166,185.998900
8,64848,194.000200
8,67362,201.500300
8,70043,209.498617
8,74233,221.998783
8,77250,230.999500
8,79261,236.998983
8,81943,245.000283
8,87306,260.999900
8,89988,269.001200
8,92669,276.999517
8,98032,292.999133
8,99541,297.500983
8,105071,313.998817
8,107753,322.000117
8,109094,326.000767
8,112948,337.498533
8,116971,349.500483
8,118312,353.501133
Panel 9,33
9,1831,5.999483
9,3172,10.000133
9,9876,30.000400
9,14401,43.499983
9,17250,51.999500
9,21775,65.499083
9,24960,75.001000
9,27641,82.999317
9,35686,107.000233
9,38367,114.998550
9,40043,119.998617
9,42725,127.999917
9,44066,132.000567
9,57474,172.001100
9,60826,182.001233
9,65518,195.999033
9,69373,207.499783
9,72222,215.999300
9,73395,219.498750
9,76077,227.500050
9,79597,238.001383
9,81608,244.000867
9,82948,247.998533
9,87641,261.999317
9,90323,270.000617
9,92334,276.000100
9,93675,280.000750
9,98367,293.998550
9,101384,302.999267
9,106747,318.998883
9,111775,333.999083
9,115798,346.001033
9,118479,353.999350
Panel 10,49
10,1999,6.500683
10,3340,10.501333
10,7194,21.999100
10,8535,25.999750
10,10546,31.999233
10,15742,47.500633
10,18591,56.000150
10,19932,60.000800
10,22781,68.500317
10,24624,73.998600
10,26133,78.500450
10,27306,81.999900
10,28814,86.498767
10,31328,93.998867
10,34178,102.501367
10,35351,106.000817
10,38032,113.999133
10,46915,140.500083
10,48088,143.999533
10,50770,152.000833
10,52278,156.499700
10,53451,159.999150
10,55462,165.998633
10,57641,172.499317
10,59485,178.000583
10,61328,183.498867
10,66859,199.999683
10,70881,211.998650
10,72222,215.999300
10,73898,220.999367
10,76747,229.498883
10,78256,234.000733
10,84624,252.998600
10,86300,257.998667
10,88982,265.999967
10,95351,285.000817
10,97027,290.000883
10,98367,293.998550
10,100211,299.499817
10,102390,306.000500
10,104233,311.498783
10,105407,315.001217
10,108759,325.001350
10,110435,330.001417
10,111943,334.500283
10,114457,342.000383
10,115965,346.499250
10,119150,356.001167
10,120490,359.998833
Panel 11,53
11,4513,14.000783
11,5854,18.001433
11,7362,22.500300
11,8703,26.500950
11,10546,31.999233
11,15742,47.500633
11,18591,56.000150
11,20602,61.999633
11,22948,68.998533
11,25965,77.999250
11,28647,86.000550
11,29988,90.001200
11,31496,94.500067
11,32669,97.999517
11,34345,102.999583
11,36859,110.499683
11,39541,118.500983
11,40881,122.498650
11,42222,126.499300
11,43563,130.499950
11,47250,141.499500
11,48759,146.001350
11,51440,153.999667
11,52613,157.499117
11,54122,162.000967
11,55462,165.998633
11,57976,173.498733
11,59652,178.498800
11,61328,183.498867
11,63507,189.999550
11,65016,194.501400
11,66859,199.999683
11,68535,204.999750
11,70881,211.998650
11,72222,215.999300
11,73898,220.999367
11,76915,230.000083
11,80937,241.999050
11,86468,258.499867
11,91664,274.001267
11,97194,290.499100
11,98367,293.998550
11,100043,298.998617
11,102222,305.499300
11,104066,311.000567
11,106077,317.000050
11,108759,325.001350
11,110602,330.499633
11,113116,337.999733
11,114624,342.498600
11,117138,349.998700
11,119150,356.001167
11,120490,359.998833
Panel 12,30
12,4680,14.499000
12,6021,18.499650
12,10043,30.498617
12,14401,43.499983
12,17250,51.999500
12,21943,66.000283
12,30323,91.000617
12,33004,98.998933
12,37027,111.000883
12,39708,118.999200
12,42390,127.000500
12,44066,132.000567
12,57809,173.000517
12,60826,182.001233
12,65183,194.999617
12,69373,207.499783
12,72222,215.999300
12,73395,219.498750
12,76412,228.499467
12,79597,238.001383
12,81608,244.000867
12,83619,250.000350
12,87641,261.999317
12,90323,270.000617
12,92334,276.000100
12,94345,281.999583
12,98367,293.998550
12,113284,338.500933
12,117306,350.499900
12,118647,354.500550
Panel 13,19
13,2166,6.998900
13,3507,10.999550
13,10211,30.999817
13,14569,44.001183
13,22446,67.500900
13,24792,74.499800
13,27474,82.501100
13,35518,106.499033
13,38200,114.500333
13,55798,167.001033
13,58144,173.999933
13,67529,201.998517
13,69541,208.000983
13,73563,219.999950
13,81273,243.001450
13,91999,275.000683
13,112111,335.001483
13,116133,347.000450
13,118814,354.998767
Panel 14,34
14,2334,7.500100
14,3675,11.500750
14,7529,22.998517
14,8870,26.999167
14,11887,35.999883
14,15909,47.998850
14,18759,56.501350
14,22111,66.501483
14,26468,79.499867
14,31664,95.001267
14,34680,103.999000
14,37362,112.000300
14,41049,122.999850
14,43731,131.001150
14,45407,136.001217
14,47418,142.000700
14,50099,149.999017
14,52781,158.000317
14,58312,174.501133
14,59820,179.000000
14,61831,184.999483
14,68200,204.000333
14,69541,208.000983
14,72055,215.501083
14,74569,223.001183
14,76245,228.001250
14,86636,259.001067
14,97362,291.000300
14,106412,317.999467
14,108423,323.998950
14,110770,331.000833
14,112278,335.499700
14,114792,342.999800
14,116300,347.498667
Panel 15,34
15,4848,15.000200
15,6189,19.000850
15,7697,23.499717
15,9038,27.500367
15,11887,35.999883
15,15909,47.998850
15,18759,56.501350
15,22278,66.999700
15,26300,78.998667
15,31831,95.499483
15,37194,111.499100
15,39876,119.500400
15,42557,127.498717
15,46077,138.000050
15,47418,142.000700
15,50099,149.999017
15,52781,158.000317
15,58647,175.500550
15,59988,179.501200
15,61999,185.500683
15,65351,195.500817
15,69541,208.000983
15,72055,215.501083
15,74569,223.001183
15,76580,229.000667
15,84289,251.999183
15,86803,259.499283
15,95016,284.001400
15,97529,291.498517
15,108423,323.998950
15,110937,331.499050
15,113451,338.999150
15,114960,343.501000
15,117474,351.001100
Panel 16,21
16,5016,15.501400
16,6356,19.499067
16,10379,31.501017
16,14569,44.001183
16,22613,67.999117
16,28982,86.999967
16,30155,90.499417
16,32837,98.500717
16,55798,167.001033
16,58479,174.999350
16,63842,190.998967
16,67529,201.998517
16,69541,208.000983
16,73563,219.999950
16,78591,235.000150
16,89317,266.999383
16,101719,303.998683
16,105742,316.000633
16,113619,339.500350
16,117641,351.499317
16,118982,355.499967
